,total_n,nobles_n,nobles_pct_of_total,Deputies_n,Deputies_pct_of_total,Landowners_n,Landowners_pct_of_total,Military_n,Military_pct_of_total,State elites_n,State elites_pct_of_total,Other_n,Other_pct_of_total
P_1848_1859,144,99,68.75,6,4.166666666666666,21,14.583333333333334,26,18.055555555555554,35,24.305555555555554,11,7.638888888888889
P_1860_1882,593,500,84.31703204047217,137,23.102866779089375,137,23.102866779089375,38,6.408094435075886,130,21.922428330522767,58,9.780775716694773
P_1883_1913,805,690,85.71428571428571,284,35.27950310559006,52,6.459627329192546,75,9.316770186335404,198,24.596273291925467,81,10.062111801242237
P_1914_1924,299,213,71.23745819397993,91,30.434782608695656,10,3.3444816053511706,30,10.033444816053512,48,16.05351170568562,34,11.37123745819398
P_1925_1946,521,114,21.880998080614205,28,5.3742802303262955,10,1.9193857965451053,21,4.030710172744722,26,4.990403071017274,29,5.566218809980806
