Category,Count,Percent
cat_03,774,32.75
cat_21,605,25.6
cat_14,272,11.51
cat_18,174,7.36
cat_05,146,6.18
cat_20,117,4.95
cat_17,73,3.09
cat_08,65,2.75
cat_15,61,2.58
cat_16,60,2.54
cat_09,59,2.5
cat_12,55,2.33
cat_13,35,1.48
cat_06,34,1.44
cat_04,25,1.06
cat_10,23,0.97
cat_07,22,0.93
cat_19,21,0.89
cat_02,15,0.63
cat_11,8,0.34
cat_01,6,0.25
"TOTAL (senators in office, union)",2363,100.0
