period,Economic elites,University professor,Military,Legal,Judiciary,State elite,Cultural,Other,Cultural/knowledge professions,Clergy
1848–1859,37,7,30,5,28,21,6,1,0,7
1860–1882,218,78,76,61,95,79,47,0,2,9
1883–1913,280,172,144,170,129,110,94,0,16,1
1914–1924,132,137,82,117,60,67,65,0,21,0
1925–1946,156,169,157,109,97,94,88,0,34,0
