,1848–1859,1860–1882,1883–1913,1914–1924,1925–1946,TOTAL (union)
Economic elites,25.694444444444443,31.73216885007278,24.07566638005159,18.565400843881857,16.578108395324122,22.386796445196783
University professor,4.861111111111111,11.353711790393014,14.789337919174548,19.268635724331926,17.9596174282678,14.853999153618282
Military elite,20.833333333333332,11.06259097525473,12.381771281169389,11.533052039381154,16.684378320935174,14.600084638171815
Legal profession (lawyers),3.4722222222222223,8.879184861717613,14.531384350816852,16.31504922644163,11.370882040382572,11.976301311891664
Judiciary (magistrates),19.444444444444443,13.828238719068413,11.092003439380912,8.438818565400844,10.30818278427205,11.680067710537452
Other,25.694444444444443,23.14410480349345,23.129836629406707,25.87904360056259,27.09883103081828,24.502750740584002
Total,100.0,100.0,100.0,100.0,100.0,100.0
