period,in_office_total_n,deputy_background_n,deputy_background_pct,avg_years_before_senate_all_in_office,avg_years_before_senate_only_deputy_background
1848–1859,144,34,23.61111111111111,0.9652777777777778,4.088235294117647
1860–1882,687,319,46.43377001455604,5.211062590975255,11.22257053291536
1883–1913,1163,627,53.912295786758385,9.988822012037833,18.527910685805423
1914–1924,711,341,47.96061884669479,10.012658227848101,20.87683284457478
1925–1946,941,354,37.619553666312434,7.095642933049946,18.861581920903955
